,provincia,fecha,Produccion_Total_Petroleo
0,Neuquén,2006-01-01,1020.6764999999999
1,Neuquén,2006-02-01,945.72852
2,Neuquén,2006-03-01,1070.178127
3,Neuquén,2006-04-01,1034.177116
4,Neuquén,2006-05-01,1326.296992
5,Neuquén,2006-06-01,1292.495153
6,Neuquén,2006-07-01,1300.461111
7,Neuquén,2006-08-01,1183.740974
8,Neuquén,2006-09-01,1124.054812
9,Neuquén,2006-10-01,1162.743908
10,Neuquén,2006-11-01,1029.010784
11,Neuquén,2006-12-01,1217.24507
12,Neuquén,2007-01-01,1090.630036
13,Neuquén,2007-02-01,907.705527
14,Neuquén,2007-03-01,973.049633
15,Neuquén,2007-04-01,916.67544
16,Neuquén,2007-05-01,978.452027
17,Neuquén,2007-06-01,997.080993
18,Neuquén,2007-07-01,3528.181199
19,Neuquén,2007-08-01,1696.693721
20,Neuquén,2007-09-01,2455.552838
21,Neuquén,2007-10-01,1667.615873
22,Neuquén,2007-11-01,1232.911617
23,Neuquén,2007-12-01,1052.2676999999999
24,Neuquén,2008-01-01,1099.317083
25,Neuquén,2008-02-01,1043.587084
26,Neuquén,2008-03-01,1186.139675
27,Neuquén,2008-04-01,1092.541182
28,Neuquén,2008-05-01,1119.906149
29,Neuquén,2008-06-01,2133.932831
30,Neuquén,2008-07-01,2398.712568
31,Neuquén,2008-08-01,3465.186161
32,Neuquén,2008-09-01,3778.608406
33,Neuquén,2008-10-01,4248.13872
34,Neuquén,2008-11-01,3789.388695
35,Neuquén,2008-12-01,3826.773832
36,Neuquén,2009-01-01,3850.9825299999998
37,Neuquén,2009-02-01,3499.929814
38,Neuquén,2009-03-01,4056.694227
39,Neuquén,2009-04-01,3627.832414
40,Neuquén,2009-05-01,3810.947623
41,Neuquén,2009-06-01,3824.202366
42,Neuquén,2009-07-01,3411.483435
43,Neuquén,2009-08-01,3829.624557
44,Neuquén,2009-09-01,4405.6007230000005
45,Neuquén,2009-10-01,4283.705764
46,Neuquén,2009-11-01,3538.233903
47,Neuquén,2009-12-01,3171.073121
48,Neuquén,2010-01-01,3213.251007
49,Neuquén,2010-02-01,2855.277734
50,Neuquén,2010-03-01,3246.934325
51,Neuquén,2010-04-01,2997.92455
52,Neuquén,2010-05-01,3077.174547
53,Neuquén,2010-06-01,3097.399704
54,Neuquén,2010-07-01,3352.449698
55,Neuquén,2010-08-01,4248.700212
56,Neuquén,2010-09-01,4123.146365
57,Neuquén,2010-10-01,3820.783121
58,Neuquén,2010-11-01,3900.474642
59,Neuquén,2010-12-01,4253.16484
60,Neuquén,2011-01-01,3760.933816
61,Neuquén,2011-02-01,3267.15016
62,Neuquén,2011-03-01,4237.15501
63,Neuquén,2011-04-01,4399.478607
64,Neuquén,2011-05-01,5069.181732
65,Neuquén,2011-06-01,4664.201077
66,Neuquén,2011-07-01,4777.512888
67,Neuquén,2011-08-01,9098.115514
68,Neuquén,2011-09-01,12241.461622
69,Neuquén,2011-10-01,13839.204642
70,Neuquén,2011-11-01,12227.524779
71,Neuquén,2011-12-01,12040.209932
72,Neuquén,2012-01-01,12682.810739
73,Neuquén,2012-02-01,12894.305247999999
74,Neuquén,2012-03-01,14146.985209
75,Neuquén,2012-04-01,14036.377447
76,Neuquén,2012-05-01,16794.499863
77,Neuquén,2012-06-01,16755.422293837
78,Neuquén,2012-07-01,16713.262105
79,Neuquén,2012-08-01,18136.424998
80,Neuquén,2012-09-01,18575.524665
81,Neuquén,2012-10-01,18728.791348
82,Neuquén,2012-11-01,15601.349802
83,Neuquén,2012-12-01,17544.776921
84,Neuquén,2013-01-01,19616.298621
85,Neuquén,2013-02-01,19124.259293
86,Neuquén,2013-03-01,22498.794668
87,Neuquén,2013-04-01,25351.604116
88,Neuquén,2013-05-01,28994.691411
89,Neuquén,2013-06-01,30672.767981
90,Neuquén,2013-07-01,38334.823693
91,Neuquén,2013-08-01,39959.205154
92,Neuquén,2013-09-01,39094.196989
93,Neuquén,2013-10-01,48009.395786
94,Neuquén,2013-11-01,52484.287015
95,Neuquén,2013-12-01,62118.615908
96,Neuquén,2014-01-01,59896.705217
97,Neuquén,2014-02-01,56622.318974
98,Neuquén,2014-03-01,61545.554499
99,Neuquén,2014-04-01,63269.64017
100,Neuquén,2014-05-01,71040.922882
101,Neuquén,2014-06-01,78383.917369
102,Neuquén,2014-07-01,85744.949008
103,Neuquén,2014-08-01,102068.08330700001
104,Neuquén,2014-09-01,105639.411097
105,Neuquén,2014-10-01,107775.680625
106,Neuquén,2014-11-01,107543.539896
107,Neuquén,2014-12-01,109533.897447
108,Neuquén,2015-01-01,107754.090491
109,Neuquén,2015-02-01,99452.48408
110,Neuquén,2015-03-01,112969.155537
111,Neuquén,2015-04-01,113604.029458
112,Neuquén,2015-05-01,120505.677753
113,Neuquén,2015-06-01,112432.250287
114,Neuquén,2015-07-01,118213.478591
115,Neuquén,2015-08-01,121292.199855
116,Neuquén,2015-09-01,123260.377932
117,Neuquén,2015-10-01,139344.041268
118,Neuquén,2015-11-01,122322.080741
119,Neuquén,2015-12-01,133301.377011
120,Neuquén,2016-01-01,132706.375617
121,Neuquén,2016-02-01,118325.152919
122,Neuquén,2016-03-01,131962.295835
123,Neuquén,2016-04-01,138112.792379
124,Neuquén,2016-05-01,142885.319072
125,Neuquén,2016-06-01,152758.591592
126,Neuquén,2016-07-01,163145.240564
127,Neuquén,2016-08-01,169428.881472
128,Neuquén,2016-09-01,169060.464287
129,Neuquén,2016-10-01,181647.854029
130,Neuquén,2016-11-01,173656.286803
131,Neuquén,2016-12-01,191109.61014
132,Neuquén,2017-01-01,191436.4868
133,Neuquén,2017-02-01,164891.085191
134,Neuquén,2017-03-01,186066.680678
135,Neuquén,2017-04-01,180763.185731
136,Neuquén,2017-05-01,196350.32202
137,Neuquén,2017-06-01,195439.443703
138,Neuquén,2017-07-01,205011.267246
139,Neuquén,2017-08-01,200431.45412
140,Neuquén,2017-09-01,199919.651954
141,Neuquén,2017-10-01,211196.10887
142,Neuquén,2017-11-01,210640.737647
143,Neuquén,2017-12-01,214817.534583
144,Neuquén,2018-01-01,221856.40981800001
145,Neuquén,2018-02-01,221095.957294
146,Neuquén,2018-03-01,259675.69141
147,Neuquén,2018-04-01,255753.532759
148,Neuquén,2018-05-01,270171.96282799996
149,Neuquén,2018-06-01,267134.7997295833
150,Neuquén,2018-07-01,282282.118391
151,Neuquén,2018-08-01,318000.413208
152,Neuquén,2018-09-01,328795.039347
153,Neuquén,2018-10-01,351284.569969
154,Neuquén,2018-11-01,361136.795999
155,Neuquén,2018-12-01,382749.8254303333
156,Neuquén,2019-01-01,395671.86530895974
157,Neuquén,2019-02-01,358439.61677766504
158,Neuquén,2019-03-01,372868.33276900003
159,Neuquén,2019-04-01,404565.246764
160,Neuquén,2019-05-01,428576.699492
161,Neuquén,2019-06-01,403230.54717700003
162,Neuquén,2019-07-01,442005.631679
163,Neuquén,2019-08-01,510606.947688
164,Neuquén,2019-09-01,498245.05319
165,Neuquén,2019-10-01,516343.198151
166,Neuquén,2019-11-01,510433.985319
167,Neuquén,2019-12-01,559028.894717
168,Neuquén,2020-01-01,564362.697304
169,Neuquén,2020-02-01,556299.807866
170,Neuquén,2020-03-01,615772.926747
171,Neuquén,2020-04-01,448086.729931
172,Neuquén,2020-05-01,470548.900063
173,Neuquén,2020-06-01,567566.903437
174,Neuquén,2020-07-01,586915.033083
175,Neuquén,2020-08-01,589649.388146
176,Neuquén,2020-09-01,540761.337526
177,Neuquén,2020-10-01,579347.752002
178,Neuquén,2020-11-01,575117.45141
179,Neuquén,2020-12-01,620882.237034
180,Neuquén,2021-01-01,664936.031596
181,Neuquén,2021-02-01,620325.498742
182,Neuquén,2021-03-01,720730.639084
183,Neuquén,2021-04-01,711216.0478149999
184,Neuquén,2021-05-01,737245.819704
185,Neuquén,2021-06-01,735883.423442
186,Neuquén,2021-07-01,808199.69356
187,Neuquén,2021-08-01,792389.343675
188,Neuquén,2021-09-01,843239.025825
189,Neuquén,2021-10-01,950375.248456
190,Neuquén,2021-11-01,958302.296154
191,Neuquén,2021-12-01,1030825.552645
192,Neuquén,2022-01-01,1083931.683857
193,Neuquén,2022-02-01,973988.689994
194,Neuquén,2022-03-01,1105199.786518
195,Neuquén,2022-04-01,1103564.2842
196,Neuquén,2022-05-01,1170052.909352
197,Neuquén,2022-06-01,1122805.903805
198,Neuquén,2022-07-01,1198865.372737
199,Neuquén,2022-08-01,1218608.364274
200,Neuquén,2022-09-01,1245001.65956
201,Neuquén,2022-10-01,1342631.070137
202,Neuquén,2022-11-01,1305239.541768
203,Neuquén,2022-12-01,1378412.082563
204,Neuquén,2023-01-01,1415798.406863
205,Neuquén,2023-02-01,1315221.166311
206,Neuquén,2023-03-01,1493482.009652
207,Neuquén,2023-04-01,1422505.218329
208,Neuquén,2023-05-01,1473018.503531
209,Neuquén,2023-06-01,1399364.505628
210,Neuquén,2023-07-01,1445944.933684
211,Neuquén,2023-08-01,1478072.558714
212,Neuquén,2023-09-01,1468356.910724
213,Neuquén,2023-10-01,1606866.518072
214,Neuquén,2023-11-01,1630996.228577
215,Neuquén,2023-12-01,1745975.398356
